,,,,,,,,,,,"단위 : 개, 명, 억원"
지역,대분류,중분류,기업수,,,종사자수,,,매출액,,
,,,2019년,2020년,2021년,2019년,2020년,2021년,2019년,2020년,2021년
1. 서울,C.제조업(10~34),13.섬유제품 제조업; 의복 제외,"7,919 ","6,939 ","7,435 ","16,379 ","14,073 ","13,988 ","25,410 ","16,905 ","19,088 "
1. 서울,C.제조업(10~34),"14.의복, 의복 액세서리 및 모피제품 제조업","17,288 ","18,207 ","19,312 ","39,170 ","38,283 ","37,840 ","56,502 ","46,917 ","53,904 "
1. 서울,C.제조업(10~34),"15.가죽, 가방 및 신발 제조업","3,359 ","3,637 ","3,895 ","6,780 ","6,765 ","6,859 ","10,098 ","7,897 ","8,822 "
1. 서울,C.제조업(10~34),16.목재 및 나무제품 제조업; 가구 제외,518 ,514 ,532 ,960 ,847 ,855 ,"1,203 ",738 ,838 
1. 서울,C.제조업(10~34),"17.펄프, 종이 및 종이제품 제조업","1,145 ","1,194 ","1,300 ","2,892 ","2,834 ","2,902 ","4,378 ","3,730 ","4,449 "
1. 서울,C.제조업(10~34),18.인쇄 및 기록매체 복제업,"9,151 ","8,705 ","8,826 ","21,313 ","19,347 ","18,789 ","24,921 ","21,814 ","23,001 "
1. 서울,C.제조업(10~34),"19.코크스, 연탄 및 석유정제품 제조업",*,*,*,*,*,*,*,*,*
1. 서울,C.제조업(10~34),20.화학 물질 및 화학제품 제조업; 의약품 제외,"1,540 ","1,548 ","1,655 ","3,277 ","3,286 ","3,505 ","5,112 ","5,279 ","5,871 "
1. 서울,C.제조업(10~34),21.의료용 물질 및 의약품 제조업,153 ,152 ,158 ,480 ,445 ,421 ,764 ,578 ,576 
1. 서울,C.제조업(10~34),22.고무 및 플라스틱제품 제조업,"1,637 ","1,641 ","1,726 ","4,000 ","3,793 ","3,805 ","5,981 ","5,346 ","5,910 "
1. 서울,C.제조업(10~34),23.비금속 광물제품 제조업,641 ,673 ,750 ,"1,292 ","1,233 ","1,320 ","1,924 ","1,704 ","2,088 "
1. 서울,C.제조업(10~34),24.1차 금속 제조업,389 ,382 ,387 ,995 ,955 ,981 ,"2,130 ","1,655 ","1,801 "
1. 서울,C.제조업(10~34),25.금속 가공제품 제조업; 기계 및 가구 제외,"5,171 ","5,042 ","5,065 ","10,619 ","9,936 ","9,745 ","13,791 ","12,138 ","13,247 "
1. 서울,C.제조업(10~34),"26.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","2,725 ","2,437 ","2,559 ","7,469 ","6,211 ","6,190 ","14,109 ","11,351 ","13,014 "
1. 서울,C.제조업(10~34),"27.의료, 정밀, 광학 기기 및 시계 제조업","2,384 ","2,367 ","2,460 ","7,287 ","7,073 ","7,063 ","8,919 ","8,559 ","9,457 "
1. 서울,C.제조업(10~34),28.전기장비 제조업,"3,059 ","3,034 ","3,056 ","7,214 ","6,990 ","6,790 ","11,702 ","10,179 ","10,465 "
1. 서울,C.제조업(10~34),29.기타 기계 및 장비 제조업,"3,832 ","3,753 ","3,831 ","8,823 ","8,363 ","8,355 ","14,073 ","12,646 ","13,955 "
1. 서울,C.제조업(10~34),30.자동차 및 트레일러 제조업,301 ,291 ,368 ,625 ,631 ,677 ,830 ,806 ,936 
1. 서울,C.제조업(10~34),31.기타 운송장비 제조업,149 ,150 ,172 ,338 ,331 ,376 ,613 ,621 ,650 
1. 서울,C.제조업(10~34),32.가구 제조업,"1,061 ","1,101 ","1,154 ","2,124 ","2,120 ","2,158 ","2,806 ","2,496 ","3,047 "
